n,Marca temporal,1) ¿Cuál es su nivel más alto de estudios?,2) ¿Cuál es su edad?,3) Indique su sexo,4) Estado civil,5) ¿Actualmente se encuentra trabajando?,"6) ¿Cuántas horas a la semana trabaja? (si no trabaja, escriba un cero)",7) ¿Tienes hijos(as) o personas a su cuidado actualmente?,8) Ingresos económicos de su hogar aproximado (en pesos) en total.,9) Tipo de establecimiento secundario del que egresó,10) Tipo de formación en su educación secundaria,11) Nivel educativo alcanzado por su madre/tutor (seleccione la última cursada y aprobada),12) Nivel educativo alcanzado por su padre/tutor (seleccione la última cursada y aprobada),13) Usted está diagnosticado de acuerdo a las siguientes categorías:,emp_1,emp_2,emp_3,emp_4,emp_5,emp_6,emp_7,emp_8,emp_9,emp_10,control_1,sq_1,sq_2,sq_3,sq_4,sq_5,sq_6,sq_7,sq_8,sq_9,sq_10,control_2,ale_1,ale_2,ale_3,ale_4,ale_5,ale_6,ale_7,ale_8,ale_9,ale_10,ale_11,ale_12,ale_13,ale_14,ale_15,ale_16,ale_17,ale_18,ale_19,ale_20,ie_1,ie_2,ie_3,ie_4,ie_5,ie_6,ie_7,ie_8,ie_9,ie_10,ie_11,ie_12,ie_13,ie_14,ie_15,ie_16,ie_17,ie_18,ie_19,ie_20,ie_21,ie_22,ie_23,ie_24,control_3,iri_1,iri_2,iri_3,iri_4,iri_5,iri_6,iri_7,EQ_total,SQ_total,ale1_iden_sent,ale2_des_sent,ale3_pen_ext,int_emo_1_perc_emo,int_emo_2_compr_emo,int_emo_3_reg_emo,toma_pers
16,2021/12/02 12:09:25 a. m. GMT,Educacion Universitaria Incompleta,30,Mujer,Soltero,No,0,No,0 a 290.000,Particular subvencionado,Técnico profesional,Enseñanza básica completa,Enseñanza básica completa,No estoy diagnosticado con ninguna de las anteriores.,2,0,2,2,2,2,2,2,2,2,1,1,2,0,0,0,0,0,2,0,0,2,1,1,1,2,2,3,1,3,1,5,1,1,1,1,1,1,1,5,5,1,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4,2,3,5,3,5,5,5,18,5,9,6,11,40,38,38,28
17,2021/12/02 12:21:11 a. m. GMT,Educacion Universitaria Incompleta,22,No binario,Soltero,Sí,12,No,500.000 a 690.000,Particular subvencionado,Científico humanista,Enseñanza básica completa,Enseñanza básica completa,Algún tipo de Trastorno del Desarrollado no especificado arriba.,2,2,2,2,1,1,2,0,2,0,1,0,2,0,0,0,1,0,1,0,2,2,3,5,4,4,2,5,4,1,4,1,3,4,5,5,5,3,4,5,5,1,5,5,5,5,5,2,4,5,3,4,2,4,5,2,4,4,1,1,1,1,4,3,5,3,4,5,2,5,4,3,1,3,14,6,30,20,9,36,28,19,23
18,2021/12/02 12:26:57 a. m. GMT,Educación Universitaria Completa,26,Hombre,Soltero,Sí,30,No,Sobre los valores anteriores,Particular subvencionado,Científico humanista,Enseñanza media,Universitaria completa,No estoy diagnosticado con ninguna de las anteriores.,0,2,2,2,2,2,2,2,2,1,1,2,0,1,1,2,0,1,0,0,1,2,1,3,1,3,4,4,3,2,1,1,1,4,1,1,1,2,4,4,4,1,5,5,3,5,4,5,5,5,3,3,3,4,4,2,2,2,3,2,2,4,4,3,4,3,4,5,2,4,5,4,4,4,17,8,12,15,8,37,23,25,28
19,2021/12/02 1:42:04 a. m. GMT,Educación Técnico Profesional Incompleta,20,Hombre,Soltero,No,0,No,0 a 290.000,Municipal,Técnico profesional,Enseñanza básica completa,Enseñanza básica completa,No estoy diagnosticado con ninguna de las anteriores.,0,1,1,0,0,1,2,2,1,1,1,1,2,0,0,1,0,0,1,0,2,2,3,3,1,4,4,3,2,3,2,1,3,1,3,3,2,4,5,3,3,2,4,3,2,2,1,3,2,2,3,2,3,3,4,2,2,3,4,5,1,3,3,2,3,3,4,3,3,4,2,4,2,3,9,7,17,16,10,19,22,24,21
20,2021/12/02 2:42:45 a. m. GMT,Education Técnico Profesional Completa,23,Hombre,Soltero,Sí,44,No,300.000 a 490.000,Municipal,Científico humanista,Enseñanza media,Enseñanza básica incompleta,No estoy diagnosticado con ninguna de las anteriores.,1,1,0,1,1,2,0,0,2,0,3,2,2,0,0,0,0,1,0,0,0,2,4,3,2,4,4,4,5,3,4,2,4,4,5,2,3,5,5,4,3,3,3,4,1,3,3,2,2,3,3,3,4,4,2,3,4,3,3,4,2,3,3,4,5,4,4,2,3,2,3,5,1,1,8,5,26,20,12,21,26,28,17
21,2021/12/02 2:51:15 a. m. GMT,Educación Media Completa,42,Mujer,Soltero,Sí,70,No,300.000 a 490.000,Municipal,Científico humanista,Enseñanza básica completa,Enseñanza básica incompleta,No estoy diagnosticado con ninguna de las anteriores.,1,1,1,1,1,1,2,1,2,0,1,1,1,0,0,1,0,1,1,1,1,2,4,4,5,1,3,4,4,5,5,1,4,2,4,4,3,4,5,5,4,3,4,3,3,3,3,3,3,3,3,3,3,4,3,3,4,3,4,5,4,4,3,3,4,4,4,2,4,4,2,4,4,4,11,7,30,16,12,25,26,31,24
22,2021/12/02 6:00:37 p. m. GMT,Educacion Universitaria Incompleta,22,Hombre,Soltero,No,0,No,500.000 a 690.000,Particular subvencionado,Científico humanista,Técnica educación superior completa,Enseñanza básica incompleta,No estoy diagnosticado con ninguna de las anteriores.,1,0,1,1,0,0,2,2,1,0,1,0,0,0,0,0,0,0,0,2,0,2,4,4,3,2,3,3,2,2,3,1,5,2,3,4,4,5,3,4,5,3,4,5,4,5,5,3,4,3,4,4,4,4,4,2,4,4,2,1,1,1,3,3,4,3,4,4,3,4,3,4,3,4,8,2,22,16,10,33,30,18,25
23,2021/12/02 6:57:52 p. m. GMT,Educacion Universitaria Incompleta,20,Mujer,Soltero,Sí,25,No,900.000 a 1.190.000,Municipal,Científico humanista,Universitaria completa,Técnica educación superior completa,Prefiero no responder.,0,2,0,0,2,1,2,0,1,0,1,0,2,2,2,0,0,0,1,0,2,2,5,5,5,5,3,5,5,5,5,1,5,5,5,5,2,1,5,5,5,2,5,5,5,5,3,5,5,5,1,1,1,1,1,2,3,1,2,1,1,1,2,2,5,1,4,3,3,3,3,3,3,3,8,9,35,25,11,38,11,15,21
24,2021/12/02 6:59:20 p. m. GMT,Educacion Universitaria Incompleta,20,Mujer,Soltero,No,0,No,900.000 a 1.190.000,Particular subvencionado,Científico humanista,Técnica educación superior completa,Técnica educación superior completa,No estoy diagnosticado con ninguna de las anteriores.,0,1,0,0,1,0,2,1,1,1,1,0,0,1,1,0,1,1,1,1,0,2,4,4,2,3,2,4,4,2,4,2,3,2,2,2,3,1,5,4,4,2,4,4,4,4,4,4,4,4,2,2,2,3,2,2,4,4,2,2,2,2,2,4,4,2,4,5,4,4,4,4,2,4,7,6,22,17,9,32,21,20,27
25,2021/12/03 2:04:31 a. m. GMT,Educacion Universitaria Incompleta,20,Mujer,Soltero,No,0,No,500.000 a 690.000,Municipal,Científico humanista,Enseñanza media,Enseñanza básica completa,No estoy diagnosticado con ninguna de las anteriores.,2,2,1,2,2,2,1,1,2,1,1,2,1,2,2,1,2,1,1,1,1,2,4,5,3,3,3,3,3,4,3,2,4,4,3,2,3,1,4,4,4,1,3,4,3,3,3,3,3,3,2,3,2,4,3,3,3,3,3,4,2,4,3,3,5,3,4,4,5,5,3,4,3,5,16,14,21,20,12,25,23,27,29
26,2021/12/04 12:45:53 a. m. GMT,Education Técnico Profesional Completa,48,Mujer,Casado,Sí,48,Sí,500.000 a 690.000,Particular subvencionado,Científico humanista,Enseñanza básica completa,Enseñanza básica incompleta,No estoy diagnosticado con ninguna de las anteriores.,2,1,0,2,1,2,2,0,2,2,1,2,0,2,0,0,2,0,2,0,0,2,5,2,5,2,1,3,3,4,4,1,4,1,4,1,1,2,2,5,5,1,5,5,5,5,5,5,5,5,4,4,4,4,5,4,4,2,5,5,2,5,5,5,5,4,4,4,2,2,4,2,5,4,14,8,25,11,7,40,31,36,23
27,2021/12/04 1:39:32 a. m. GMT,Educación Técnico Profesional Incompleta,57,Hombre,Divorciado,Sí,54,Sí,500.000 a 690.000,Municipal,Científico humanista,Enseñanza media,Universitaria completa,No estoy diagnosticado con ninguna de las anteriores.,0,1,0,2,0,2,2,2,2,1,1,2,2,2,0,0,2,0,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,5,4,4,1,1,1,4,3,5,5,5,5,5,5,5,5,5,5,1,4,5,5,5,5,4,5,5,5,2,5,5,5,12,14,7,5,4,23,40,35,32
28,2021/12/01 6:44:08 p. m. GMT,Educacion Universitaria Incompleta,21,Mujer,Soltero,No,0,No,500.000 a 690.000,Particular subvencionado,Científico humanista,Técnica educación superior completa,Enseñanza básica completa,No estoy diagnosticado con ninguna de las anteriores.,2,2,1,1,1,2,2,1,2,0,1,1,2,0,1,2,0,0,1,2,2,2,5,5,3,2,2,5,4,3,4,1,4,1,5,4,2,3,4,5,3,1,5,5,4,2,5,5,5,4,2,2,2,3,4,2,4,2,4,4,4,5,4,5,5,4,4,4,4,5,3,4,4,5,14,11,30,16,8,35,21,35,29
29,2021/12/01 8:01:57 p. m. GMT,Educación Media Completa,37,Mujer,Soltero,Sí,45,No,300.000 a 490.000,Particular subvencionado,Científico humanista,Enseñanza básica incompleta,Enseñanza básica incompleta,No estoy diagnosticado con ninguna de las anteriores.,0,2,2,1,2,0,2,0,2,0,1,2,2,2,0,0,2,0,0,0,2,2,1,4,1,2,3,5,1,3,1,3,5,4,1,5,1,1,5,5,2,1,5,5,3,5,1,5,5,5,5,3,3,3,3,3,5,3,3,5,5,5,5,5,4,5,4,1,3,5,1,5,2,5,11,10,15,20,10,34,28,37,22
30,2021/12/01 10:51:38 p. m. GMT,Educación Media Completa,53,Mujer,Soltero,No,0,Sí,0 a 290.000,Municipal,Científico humanista,Enseñanza básica incompleta,Enseñanza básica incompleta,No estoy diagnosticado con ninguna de las anteriores.,0,0,0,2,2,2,2,0,0,0,1,2,0,0,0,2,0,0,0,2,2,2,5,5,1,5,1,1,4,5,5,1,5,3,4,1,3,4,5,4,5,1,5,5,5,5,1,1,1,5,5,5,5,5,5,5,5,5,2,2,1,3,5,4,5,5,4,1,5,5,1,5,4,5,8,8,21,23,10,28,40,27,26
31,2021/12/02 2:20:16 a. m. GMT,Educacion Universitaria Incompleta,19,Hombre,Soltero,Sí,8,No,0 a 290.000,Municipal,Técnico profesional,Enseñanza media,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,1,2,1,2,1,1,0,1,2,2,1,2,2,0,0,2,0,0,1,1,2,2,2,2,2,2,2,3,3,2,1,1,3,1,3,1,2,2,1,4,5,5,5,5,5,5,2,5,5,5,4,4,5,4,4,4,4,4,5,5,3,5,5,5,5,5,4,3,4,4,2,5,5,5,13,10,15,9,7,37,33,38,28
32,2021/12/02 2:41:04 a. m. GMT,Educacion Universitaria Incompleta,21,Hombre,Soltero,Sí,50,No,Sobre los valores anteriores,Particular subvencionado,Científico humanista,Enseñanza media,Técnica educación superior completa,No estoy diagnosticado con ninguna de las anteriores.,2,2,0,2,1,1,2,1,2,2,1,1,2,2,2,2,0,2,2,0,1,2,1,2,2,2,2,1,1,1,1,1,1,2,1,1,2,1,3,4,5,2,5,4,4,4,2,4,4,5,5,5,5,5,5,5,5,5,5,4,4,5,4,5,5,5,4,5,1,4,2,5,4,4,15,14,8,10,6,32,40,37,25
33,2021/12/02 1:11:55 p. m. GMT,Educacion Universitaria Incompleta,21,Mujer,Soltero,No,0,No,900.000 a 1.190.000,Particular subvencionado,Científico humanista,Enseñanza básica completa,Técnica educación superior completa,No estoy diagnosticado con ninguna de las anteriores.,0,1,0,1,2,1,0,2,1,1,1,2,2,1,2,1,0,1,1,1,0,2,4,4,2,4,1,4,2,2,2,1,4,4,2,1,1,1,5,5,2,1,3,2,2,5,4,5,2,4,2,2,2,4,2,2,2,2,4,4,2,1,1,4,2,1,4,4,4,4,5,4,4,5,9,11,17,21,5,27,18,19,30
34,2021/12/02 2:31:32 p. m. GMT,Educación Media Completa,19,Hombre,Soltero,No,0,No,0 a 290.000,Particular subvencionado,Científico humanista,Enseñanza media,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,2,0,0,2,1,1,1,1,1,0,1,1,0,2,1,0,2,1,2,0,1,2,2,5,3,5,1,4,4,1,2,2,5,5,4,4,2,1,4,5,5,5,4,2,4,2,2,4,4,4,2,2,2,4,4,4,2,4,4,4,4,4,2,4,5,4,4,5,5,4,4,5,4,5,9,10,23,24,6,26,24,31,32
35,2021/12/02 4:21:18 p. m. GMT,Educacion Universitaria Incompleta,21,Mujer,Soltero,Sí,20,No,0 a 290.000,Particular subvencionado,Científico humanista,Enseñanza media,Técnica educación superior completa,No estoy diagnosticado con ninguna de las anteriores.,1,1,1,2,2,1,2,0,2,0,1,2,2,2,0,1,0,0,0,0,1,2,5,5,4,5,2,5,3,5,5,1,2,2,3,4,4,3,2,4,2,4,5,2,2,4,3,4,4,4,2,2,2,4,3,2,4,4,4,4,4,4,4,4,5,4,4,4,4,5,4,5,5,5,12,8,29,16,12,28,23,33,32
36,2021/12/02 4:46:13 p. m. GMT,Educación Media Completa,21,Mujer,Soltero,Sí,35,No,300.000 a 490.000,Particular subvencionado,Científico humanista,Enseñanza básica incompleta,Enseñanza básica incompleta,No estoy diagnosticado con ninguna de las anteriores.,1,1,1,1,1,1,0,2,1,0,1,1,0,1,1,1,0,0,2,0,1,2,3,4,2,2,1,2,2,4,2,1,4,5,1,1,2,2,5,4,4,2,3,2,2,2,1,1,2,2,4,4,4,4,4,4,4,5,5,5,5,4,4,4,5,4,4,4,4,4,4,5,5,5,9,7,13,20,8,15,33,36,31
37,2021/12/02 5:16:05 p. m. GMT,Educación Universitaria Completa,21,Mujer,Soltero,No,0,No,0 a 290.000,Particular subvencionado,Técnico profesional,Enseñanza media,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,1,1,1,2,1,0,2,1,1,2,1,2,0,2,0,0,2,0,1,0,0,2,4,4,3,1,1,5,4,4,5,1,1,3,5,5,3,3,2,3,3,3,5,5,5,5,5,5,5,5,5,5,4,4,5,3,3,5,4,4,3,4,4,4,5,4,4,4,4,4,4,3,3,5,12,7,31,11,9,40,34,32,27
38,2021/12/03 2:05:56 a. m. GMT,Educacion Universitaria Incompleta,21,Mujer,Soltero,Sí,25,No,300.000 a 490.000,Particular subvencionado,Científico humanista,Enseñanza media,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,1,2,0,2,2,2,2,2,2,2,1,1,2,0,0,2,0,2,1,0,0,2,4,3,1,4,3,5,2,3,4,1,5,4,4,3,5,3,5,4,2,2,3,3,1,5,4,3,1,2,4,4,4,4,4,1,1,3,3,3,3,4,4,4,4,5,4,3,3,3,1,4,2,4,17,8,23,21,12,22,25,30,20
39,2021/12/03 2:23:48 a. m. GMT,Education Técnico Profesional Completa,50,Hombre,Casado,Sí,44,Sí,900.000 a 1.190.000,Municipal,Científico humanista,Enseñanza media,Enseñanza básica incompleta,No estoy diagnosticado con ninguna de las anteriores.,1,1,2,2,0,1,2,2,1,0,1,2,2,0,0,0,1,1,2,0,0,2,4,5,1,2,2,1,1,2,1,1,4,4,1,2,2,5,4,4,4,1,4,2,1,1,4,2,2,2,5,5,5,5,4,4,4,4,4,4,4,4,4,5,5,4,4,2,4,4,1,4,2,4,12,8,11,19,7,18,36,34,21
40,2021/12/03 3:09:20 a. m. GMT,Educación Media Completa,20,Mujer,Soltero,Sí,48,No,300.000 a 490.000,Particular subvencionado,Científico humanista,Enseñanza media,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,0,1,1,1,2,1,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,2,4,4,2,3,3,4,2,4,2,3,3,3,1,4,2,3,4,2,3,2,4,4,4,4,3,4,4,4,4,4,4,3,3,3,2,4,4,4,3,3,4,4,4,3,4,3,4,4,4,4,2,3,12,0,19,17,12,31,27,29,24
41,2021/12/03 1:27:23 p. m. GMT,Educacion Universitaria Incompleta,21,Mujer,Soltero,No,0,No,300.000 a 490.000,Particular subvencionado,Científico humanista,Enseñanza media,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,1,1,1,2,1,1,2,2,1,1,1,1,0,0,0,1,2,0,1,1,2,2,2,4,2,4,2,4,2,1,2,1,4,4,4,4,2,2,2,5,5,3,5,4,2,4,3,2,2,3,4,4,3,4,4,2,3,4,4,4,3,3,4,3,4,3,4,5,5,5,5,5,5,5,13,8,20,18,6,25,28,28,35
42,2021/12/03 5:15:35 p. m. GMT,Educacion Universitaria Incompleta,21,Mujer,Soltero,No,0,No,900.000 a 1.190.000,Particular subvencionado,Científico humanista,Enseñanza media,Enseñanza básica completa,No estoy diagnosticado con ninguna de las anteriores.,1,1,2,1,2,1,1,1,2,2,1,2,0,0,1,0,0,1,2,0,1,2,2,2,1,3,1,2,3,1,2,1,4,4,2,2,3,1,4,5,5,1,3,3,4,5,2,1,3,3,4,4,4,3,4,4,3,4,4,2,1,1,5,4,5,2,4,4,3,4,3,5,3,4,14,7,14,17,6,24,30,24,26
