n,Marca temporal,1) ¿Cuál es su nivel más alto de estudios?,2) ¿Cuál es su edad?,3) Indique su sexo,4) Estado civil,5) ¿Actualmente se encuentra trabajando?,"6) ¿Cuántas horas a la semana trabaja? (si no trabaja, escriba un cero)",7) ¿Tienes hijos(as) o personas a su cuidado actualmente?,8) Ingresos económicos de su hogar aproximado (en pesos) en total.,9) Tipo de establecimiento secundario del que egresó,10) Tipo de formación en su educación secundaria,11) Nivel educativo alcanzado por su madre/tutor (seleccione la última cursada y aprobada),12) Nivel educativo alcanzado por su padre/tutor (seleccione la última cursada y aprobada),13) Usted está diagnosticado de acuerdo a las siguientes categorías:,emp_1,emp_2,emp_3,emp_4,emp_5,emp_6,emp_7,emp_8,emp_9,emp_10,control_1,sq_1,sq_2,sq_3,sq_4,sq_5,sq_6,sq_7,sq_8,sq_9,sq_10,control_2,ale_1,ale_2,ale_3,ale_4,ale_5,ale_6,ale_7,ale_8,ale_9,ale_10,ale_11,ale_12,ale_13,ale_14,ale_15,ale_16,ale_17,ale_18,ale_19,ale_20,ie_1,ie_2,ie_3,ie_4,ie_5,ie_6,ie_7,ie_8,ie_9,ie_10,ie_11,ie_12,ie_13,ie_14,ie_15,ie_16,ie_17,ie_18,ie_19,ie_20,ie_21,ie_22,ie_23,ie_24,control_3,iri_1,iri_2,iri_3,iri_4,iri_5,iri_6,iri_7
11,2021/12/01 9:37:53 p. m. GMT,Educación Universitaria Completa,22,Hombre,Soltero,Sí,72,No,700.000 a 890.000,Particular pagado,Científico humanista,Universitaria completa,Universitaria completa,No estoy diagnosticado con ninguna de las anteriores.,1,2,0,2,1,2,0,0,2,2,4,2,2,2,2,1,1,0,2,1,0,2,1,1,1,1,3,1,1,5,2,1,1,1,1,1,1,1,1,5,2,5,5,2,2,5,1,3,2,2,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4,4,5,5,2,5,5,5
12,2021/12/01 9:56:11 p. m. GMT,Educación Basica Completa,48,Mujer,Viudo(a),No,0,Sí,0 a 290.000,Municipal,Científico humanista,Enseñanza básica incompleta,Enseñanza básica incompleta,No estoy diagnosticado con ninguna de las anteriores.,2,0,0,2,2,1,2,0,1,0,1,0,0,0,0,0,0,0,2,0,0,2,5,4,1,2,1,5,2,5,1,1,5,1,1,1,1,5,1,5,5,3,5,5,5,5,1,1,4,2,5,5,5,5,5,1,1,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,2
13,2021/12/01 10:22:12 p. m. GMT,Educación Técnico Profesional Incompleta,19,Mujer,Soltero,No,0,No,300.000 a 490.000,Particular subvencionado,Científico humanista,Enseñanza básica completa,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,2,2,1,2,1,1,0,2,2,0,1,2,2,1,0,1,2,0,2,2,1,2,4,5,5,5,2,5,4,2,4,3,5,5,4,3,1,2,5,5,4,1,3,2,2,3,4,2,2,2,1,1,2,2,3,1,1,3,4,3,3,4,5,3,4,2,4,4,5,4,4,4,4,5
14,2021/12/01 10:58:34 p. m. GMT,Educación Media Incompleta,19,Hombre,Soltero,No,0,No,300.000 a 490.000,Particular subvencionado,Científico humanista,Enseñanza básica completa,Enseñanza media,Algún tipo de Trastorno del Desarrollado no especificado arriba.,2,2,2,2,1,2,2,2,2,0,1,2,0,1,1,0,0,0,0,0,1,2,4,5,4,4,2,5,5,2,3,2,3,4,5,4,2,2,3,4,4,3,4,3,2,2,2,1,1,1,1,1,2,3,2,1,2,2,4,5,4,3,2,2,4,3,4,5,5,5,4,5,5,5
15,2021/12/01 11:07:05 p. m. GMT,Educación Media Completa,49,Hombre,Casado,Sí,54,Sí,300.000 a 490.000,Municipal,Científico humanista,Enseñanza básica completa,Enseñanza básica incompleta,No estoy diagnosticado con ninguna de las anteriores.,0,0,0,2,0,2,0,1,2,0,1,2,0,2,0,0,0,0,2,2,1,2,5,1,5,1,1,2,1,5,5,1,1,5,5,4,1,1,5,5,5,2,4,5,5,5,1,1,1,5,5,5,4,5,5,5,5,3,5,5,5,5,5,5,5,5,4,1,5,4,1,5,5,5
16,2021/12/02 12:09:25 a. m. GMT,Educacion Universitaria Incompleta,30,Mujer,Soltero,No,0,No,0 a 290.000,Particular subvencionado,Técnico profesional,Enseñanza básica completa,Enseñanza básica completa,No estoy diagnosticado con ninguna de las anteriores.,2,0,2,2,2,2,2,2,2,2,1,1,2,0,0,0,0,0,2,0,0,2,1,1,1,2,2,3,1,3,1,5,1,1,1,1,1,1,1,5,5,1,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4,2,3,5,3,5,5,5
17,2021/12/02 12:21:11 a. m. GMT,Educacion Universitaria Incompleta,22,No binario,Soltero,Sí,12,No,500.000 a 690.000,Particular subvencionado,Científico humanista,Enseñanza básica completa,Enseñanza básica completa,Algún tipo de Trastorno del Desarrollado no especificado arriba.,2,2,2,2,1,1,2,0,2,0,1,0,2,0,0,0,1,0,1,0,2,2,3,5,4,4,2,5,4,1,4,1,3,4,5,5,5,3,4,5,5,1,5,5,5,5,5,2,4,5,3,4,2,4,5,2,4,4,1,1,1,1,4,3,5,3,4,5,2,5,4,3,1,3
18,2021/12/02 12:26:57 a. m. GMT,Educación Universitaria Completa,26,Hombre,Soltero,Sí,30,No,Sobre los valores anteriores,Particular subvencionado,Científico humanista,Enseñanza media,Universitaria completa,No estoy diagnosticado con ninguna de las anteriores.,0,2,2,2,2,2,2,2,2,1,1,2,0,1,1,2,0,1,0,0,1,2,1,3,1,3,4,4,3,2,1,1,1,4,1,1,1,2,4,4,4,1,5,5,3,5,4,5,5,5,3,3,3,4,4,2,2,2,3,2,2,4,4,3,4,3,4,5,2,4,5,4,4,4
19,2021/12/02 1:42:04 a. m. GMT,Educación Técnico Profesional Incompleta,20,Hombre,Soltero,No,0,No,0 a 290.000,Municipal,Técnico profesional,Enseñanza básica completa,Enseñanza básica completa,No estoy diagnosticado con ninguna de las anteriores.,0,1,1,0,0,1,2,2,1,1,1,1,2,0,0,1,0,0,1,0,2,2,3,3,1,4,4,3,2,3,2,1,3,1,3,3,2,4,5,3,3,2,4,3,2,2,1,3,2,2,3,2,3,3,4,2,2,3,4,5,1,3,3,2,3,3,4,3,3,4,2,4,2,3
20,2021/12/02 2:42:45 a. m. GMT,Education Técnico Profesional Completa,23,Hombre,Soltero,Sí,44,No,300.000 a 490.000,Municipal,Científico humanista,Enseñanza media,Enseñanza básica incompleta,No estoy diagnosticado con ninguna de las anteriores.,1,1,0,1,1,2,0,0,2,0,3,2,2,0,0,0,0,1,0,0,0,2,4,3,2,4,4,4,5,3,4,2,4,4,5,2,3,5,5,4,3,3,3,4,1,3,3,2,2,3,3,3,4,4,2,3,4,3,3,4,2,3,3,4,5,4,4,2,3,2,3,5,1,1
21,2021/12/02 2:51:15 a. m. GMT,Educación Media Completa,42,Mujer,Soltero,Sí,70,No,300.000 a 490.000,Municipal,Científico humanista,Enseñanza básica completa,Enseñanza básica incompleta,No estoy diagnosticado con ninguna de las anteriores.,1,1,1,1,1,1,2,1,2,0,1,1,1,0,0,1,0,1,1,1,1,2,4,4,5,1,3,4,4,5,5,1,4,2,4,4,3,4,5,5,4,3,4,3,3,3,3,3,3,3,3,3,3,4,3,3,4,3,4,5,4,4,3,3,4,4,4,2,4,4,2,4,4,4
22,2021/12/02 6:00:37 p. m. GMT,Educacion Universitaria Incompleta,22,Hombre,Soltero,No,0,No,500.000 a 690.000,Particular subvencionado,Científico humanista,Técnica educación superior completa,Enseñanza básica incompleta,No estoy diagnosticado con ninguna de las anteriores.,1,0,1,1,0,0,2,2,1,0,1,0,0,0,0,0,0,0,0,2,0,2,4,4,3,2,3,3,2,2,3,1,5,2,3,4,4,5,3,4,5,3,4,5,4,5,5,3,4,3,4,4,4,4,4,2,4,4,2,1,1,1,3,3,4,3,4,4,3,4,3,4,3,4
23,2021/12/02 6:57:52 p. m. GMT,Educacion Universitaria Incompleta,20,Mujer,Soltero,Sí,25,No,900.000 a 1.190.000,Municipal,Científico humanista,Universitaria completa,Técnica educación superior completa,Prefiero no responder.,0,2,0,0,2,1,2,0,1,0,1,0,2,2,2,0,0,0,1,0,2,2,5,5,5,5,3,5,5,5,5,1,5,5,5,5,2,1,5,5,5,2,5,5,5,5,3,5,5,5,1,1,1,1,1,2,3,1,2,1,1,1,2,2,5,1,4,3,3,3,3,3,3,3
24,2021/12/02 6:59:20 p. m. GMT,Educacion Universitaria Incompleta,20,Mujer,Soltero,No,0,No,900.000 a 1.190.000,Particular subvencionado,Científico humanista,Técnica educación superior completa,Técnica educación superior completa,No estoy diagnosticado con ninguna de las anteriores.,0,1,0,0,1,0,2,1,1,1,1,0,0,1,1,0,1,1,1,1,0,2,4,4,2,3,2,4,4,2,4,2,3,2,2,2,3,1,5,4,4,2,4,4,4,4,4,4,4,4,2,2,2,3,2,2,4,4,2,2,2,2,2,4,4,2,4,5,4,4,4,4,2,4
25,2021/12/03 2:04:31 a. m. GMT,Educacion Universitaria Incompleta,20,Mujer,Soltero,No,0,No,500.000 a 690.000,Municipal,Científico humanista,Enseñanza media,Enseñanza básica completa,No estoy diagnosticado con ninguna de las anteriores.,2,2,1,2,2,2,1,1,2,1,1,2,1,2,2,1,2,1,1,1,1,2,4,5,3,3,3,3,3,4,3,2,4,4,3,2,3,1,4,4,4,1,3,4,3,3,3,3,3,3,2,3,2,4,3,3,3,3,3,4,2,4,3,3,5,3,4,4,5,5,3,4,3,5
26,2021/12/04 12:45:53 a. m. GMT,Education Técnico Profesional Completa,48,Mujer,Casado,Sí,48,Sí,500.000 a 690.000,Particular subvencionado,Científico humanista,Enseñanza básica completa,Enseñanza básica incompleta,No estoy diagnosticado con ninguna de las anteriores.,2,1,0,2,1,2,2,0,2,2,1,2,0,2,0,0,2,0,2,0,0,2,5,2,5,2,1,3,3,4,4,1,4,1,4,1,1,2,2,5,5,1,5,5,5,5,5,5,5,5,4,4,4,4,5,4,4,2,5,5,2,5,5,5,5,4,4,4,2,2,4,2,5,4
27,2021/12/04 1:39:32 a. m. GMT,Educación Técnico Profesional Incompleta,57,Hombre,Divorciado,Sí,54,Sí,500.000 a 690.000,Municipal,Científico humanista,Enseñanza media,Universitaria completa,No estoy diagnosticado con ninguna de las anteriores.,0,1,0,2,0,2,2,2,2,1,1,2,2,2,0,0,2,0,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,1,5,4,4,1,1,1,4,3,5,5,5,5,5,5,5,5,5,5,1,4,5,5,5,5,4,5,5,5,2,5,5,5
28,2021/12/01 6:44:08 p. m. GMT,Educacion Universitaria Incompleta,21,Mujer,Soltero,No,0,No,500.000 a 690.000,Particular subvencionado,Científico humanista,Técnica educación superior completa,Enseñanza básica completa,No estoy diagnosticado con ninguna de las anteriores.,2,2,1,1,1,2,2,1,2,0,1,1,2,0,1,2,0,0,1,2,2,2,5,5,3,2,2,5,4,3,4,1,4,1,5,4,2,3,4,5,3,1,5,5,4,2,5,5,5,4,2,2,2,3,4,2,4,2,4,4,4,5,4,5,5,4,4,4,4,5,3,4,4,5
29,2021/12/01 8:01:57 p. m. GMT,Educación Media Completa,37,Mujer,Soltero,Sí,45,No,300.000 a 490.000,Particular subvencionado,Científico humanista,Enseñanza básica incompleta,Enseñanza básica incompleta,No estoy diagnosticado con ninguna de las anteriores.,0,2,2,1,2,0,2,0,2,0,1,2,2,2,0,0,2,0,0,0,2,2,1,4,1,2,3,5,1,3,1,3,5,4,1,5,1,1,5,5,2,1,5,5,3,5,1,5,5,5,5,3,3,3,3,3,5,3,3,5,5,5,5,5,4,5,4,1,3,5,1,5,2,5
30,2021/12/01 10:51:38 p. m. GMT,Educación Media Completa,53,Mujer,Soltero,No,0,Sí,0 a 290.000,Municipal,Científico humanista,Enseñanza básica incompleta,Enseñanza básica incompleta,No estoy diagnosticado con ninguna de las anteriores.,0,0,0,2,2,2,2,0,0,0,1,2,0,0,0,2,0,0,0,2,2,2,5,5,1,5,1,1,4,5,5,1,5,3,4,1,3,4,5,4,5,1,5,5,5,5,1,1,1,5,5,5,5,5,5,5,5,5,2,2,1,3,5,4,5,5,4,1,5,5,1,5,4,5
31,2021/12/02 2:20:16 a. m. GMT,Educacion Universitaria Incompleta,19,Hombre,Soltero,Sí,8,No,0 a 290.000,Municipal,Técnico profesional,Enseñanza media,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,1,2,1,2,1,1,0,1,2,2,1,2,2,0,0,2,0,0,1,1,2,2,2,2,2,2,2,3,3,2,1,1,3,1,3,1,2,2,1,4,5,5,5,5,5,5,2,5,5,5,4,4,5,4,4,4,4,4,5,5,3,5,5,5,5,5,4,3,4,4,2,5,5,5
32,2021/12/02 2:41:04 a. m. GMT,Educacion Universitaria Incompleta,21,Hombre,Soltero,Sí,50,No,Sobre los valores anteriores,Particular subvencionado,Científico humanista,Enseñanza media,Técnica educación superior completa,No estoy diagnosticado con ninguna de las anteriores.,2,2,0,2,1,1,2,1,2,2,1,1,2,2,2,2,0,2,2,0,1,2,1,2,2,2,2,1,1,1,1,1,1,2,1,1,2,1,3,4,5,2,5,4,4,4,2,4,4,5,5,5,5,5,5,5,5,5,5,4,4,5,4,5,5,5,4,5,1,4,2,5,4,4
33,2021/12/02 1:11:55 p. m. GMT,Educacion Universitaria Incompleta,21,Mujer,Soltero,No,0,No,900.000 a 1.190.000,Particular subvencionado,Científico humanista,Enseñanza básica completa,Técnica educación superior completa,No estoy diagnosticado con ninguna de las anteriores.,0,1,0,1,2,1,0,2,1,1,1,2,2,1,2,1,0,1,1,1,0,2,4,4,2,4,1,4,2,2,2,1,4,4,2,1,1,1,5,5,2,1,3,2,2,5,4,5,2,4,2,2,2,4,2,2,2,2,4,4,2,1,1,4,2,1,4,4,4,4,5,4,4,5
34,2021/12/02 2:31:32 p. m. GMT,Educación Media Completa,19,Hombre,Soltero,No,0,No,0 a 290.000,Particular subvencionado,Científico humanista,Enseñanza media,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,2,0,0,2,1,1,1,1,1,0,1,1,0,2,1,0,2,1,2,0,1,2,2,5,3,5,1,4,4,1,2,2,5,5,4,4,2,1,4,5,5,5,4,2,4,2,2,4,4,4,2,2,2,4,4,4,2,4,4,4,4,4,2,4,5,4,4,5,5,4,4,5,4,5
35,2021/12/02 4:21:18 p. m. GMT,Educacion Universitaria Incompleta,21,Mujer,Soltero,Sí,20,No,0 a 290.000,Particular subvencionado,Científico humanista,Enseñanza media,Técnica educación superior completa,No estoy diagnosticado con ninguna de las anteriores.,1,1,1,2,2,1,2,0,2,0,1,2,2,2,0,1,0,0,0,0,1,2,5,5,4,5,2,5,3,5,5,1,2,2,3,4,4,3,2,4,2,4,5,2,2,4,3,4,4,4,2,2,2,4,3,2,4,4,4,4,4,4,4,4,5,4,4,4,4,5,4,5,5,5
36,2021/12/02 4:46:13 p. m. GMT,Educación Media Completa,21,Mujer,Soltero,Sí,35,No,300.000 a 490.000,Particular subvencionado,Científico humanista,Enseñanza básica incompleta,Enseñanza básica incompleta,No estoy diagnosticado con ninguna de las anteriores.,1,1,1,1,1,1,0,2,1,0,1,1,0,1,1,1,0,0,2,0,1,2,3,4,2,2,1,2,2,4,2,1,4,5,1,1,2,2,5,4,4,2,3,2,2,2,1,1,2,2,4,4,4,4,4,4,4,5,5,5,5,4,4,4,5,4,4,4,4,4,4,5,5,5
37,2021/12/02 5:16:05 p. m. GMT,Educación Universitaria Completa,21,Mujer,Soltero,No,0,No,0 a 290.000,Particular subvencionado,Técnico profesional,Enseñanza media,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,1,1,1,2,1,0,2,1,1,2,1,2,0,2,0,0,2,0,1,0,0,2,4,4,3,1,1,5,4,4,5,1,1,3,5,5,3,3,2,3,3,3,5,5,5,5,5,5,5,5,5,5,4,4,5,3,3,5,4,4,3,4,4,4,5,4,4,4,4,4,4,3,3,5
38,2021/12/03 2:05:56 a. m. GMT,Educacion Universitaria Incompleta,21,Mujer,Soltero,Sí,25,No,300.000 a 490.000,Particular subvencionado,Científico humanista,Enseñanza media,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,1,2,0,2,2,2,2,2,2,2,1,1,2,0,0,2,0,2,1,0,0,2,4,3,1,4,3,5,2,3,4,1,5,4,4,3,5,3,5,4,2,2,3,3,1,5,4,3,1,2,4,4,4,4,4,1,1,3,3,3,3,4,4,4,4,5,4,3,3,3,1,4,2,4
39,2021/12/03 2:23:48 a. m. GMT,Education Técnico Profesional Completa,50,Hombre,Casado,Sí,44,Sí,900.000 a 1.190.000,Municipal,Científico humanista,Enseñanza media,Enseñanza básica incompleta,No estoy diagnosticado con ninguna de las anteriores.,1,1,2,2,0,1,2,2,1,0,1,2,2,0,0,0,1,1,2,0,0,2,4,5,1,2,2,1,1,2,1,1,4,4,1,2,2,5,4,4,4,1,4,2,1,1,4,2,2,2,5,5,5,5,4,4,4,4,4,4,4,4,4,5,5,4,4,2,4,4,1,4,2,4
40,2021/12/03 3:09:20 a. m. GMT,Educación Media Completa,20,Mujer,Soltero,Sí,48,No,300.000 a 490.000,Particular subvencionado,Científico humanista,Enseñanza media,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,0,1,1,1,2,1,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,2,4,4,2,3,3,4,2,4,2,3,3,3,1,4,2,3,4,2,3,2,4,4,4,4,3,4,4,4,4,4,4,3,3,3,2,4,4,4,3,3,4,4,4,3,4,3,4,4,4,4,2,3
41,2021/12/03 1:27:23 p. m. GMT,Educacion Universitaria Incompleta,21,Mujer,Soltero,No,0,No,300.000 a 490.000,Particular subvencionado,Científico humanista,Enseñanza media,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,1,1,1,2,1,1,2,2,1,1,1,1,0,0,0,1,2,0,1,1,2,2,2,4,2,4,2,4,2,1,2,1,4,4,4,4,2,2,2,5,5,3,5,4,2,4,3,2,2,3,4,4,3,4,4,2,3,4,4,4,3,3,4,3,4,3,4,5,5,5,5,5,5,5
42,2021/12/03 5:15:35 p. m. GMT,Educacion Universitaria Incompleta,21,Mujer,Soltero,No,0,No,900.000 a 1.190.000,Particular subvencionado,Científico humanista,Enseñanza media,Enseñanza básica completa,No estoy diagnosticado con ninguna de las anteriores.,1,1,2,1,2,1,1,1,2,2,1,2,0,0,1,0,0,1,2,0,1,2,2,2,1,3,1,2,3,1,2,1,4,4,2,2,3,1,4,5,5,1,3,3,4,5,2,1,3,3,4,4,4,3,4,4,3,4,4,2,1,1,5,4,5,2,4,4,3,4,3,5,3,4
43,2021/12/03 6:03:14 p. m. GMT,Educación Universitaria Completa,23,Mujer,Soltero,No,0,No,0 a 290.000,Particular subvencionado,Científico humanista,Enseñanza media,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,2,2,0,2,2,2,1,1,2,0,1,2,0,2,0,1,1,0,1,0,1,2,3,2,1,3,2,2,1,2,2,1,4,3,1,2,2,5,5,5,4,2,5,4,4,5,3,2,3,4,3,4,4,4,5,4,5,4,5,5,2,5,4,5,5,4,4,4,5,5,4,5,4,5
44,2021/12/03 10:59:01 p. m. GMT,Education Técnico Profesional Completa,48,Mujer,Soltero,Sí,44,Sí,900.000 a 1.190.000,Municipal,Científico humanista,Enseñanza básica completa,Enseñanza básica completa,No estoy diagnosticado con ninguna de las anteriores.,0,1,1,0,1,1,2,1,1,2,1,2,0,2,0,0,0,2,2,0,0,2,1,5,1,5,1,1,1,5,1,1,2,2,1,1,1,3,4,5,5,1,5,4,5,5,3,2,3,3,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,3,4,3,5,5,5,5,5,5
45,2021/12/04 12:51:17 a. m. GMT,Educación Universitaria Completa,28,Hombre,Soltero,Sí,44,No,Sobre los valores anteriores,Particular subvencionado,Científico humanista,Enseñanza media,Enseñanza media,No estoy diagnosticado con ninguna de las anteriores.,0,0,0,1,0,0,0,0,0,0,1,2,0,2,2,2,2,2,1,1,0,2,4,4,1,4,1,5,4,1,1,2,4,5,1,1,5,1,4,4,3,1,4,3,3,4,2,2,4,3,4,4,4,4,4,2,2,4,3,3,5,5,4,3,3,2,4,2,2,3,2,4,2,2
46,2021/12/04 1:13:45 a. m. GMT,Educación Universitaria Completa,24,Mujer,Soltero,Sí,15,No,700.000 a 890.000,Particular subvencionado,Técnico profesional,Técnica educación superior completa,Universitaria completa,No estoy diagnosticado con ninguna de las anteriores.,1,1,1,1,1,1,2,2,1,2,1,2,0,1,0,2,2,2,2,2,1,2,3,2,2,2,2,4,2,1,3,1,2,2,1,1,2,2,2,4,5,1,5,5,4,5,4,3,4,4,4,4,4,4,4,3,4,4,5,5,4,5,4,4,5,2,4,5,3,5,4,4,2,4
